sampleId	species_name	species_initial	Experimental_condition	type	Line_origin	Research_Team	Set	latitude	longitude	altitude	continent	country_code	state_province_code	city	locale	collection_day	collection_month	collection_year	date	bio_rep	tech_rep	fruit_type		
#DO NOT FILL. This autocompletes.	use "_" instead of spaces	first three letters of species name	add experimental conditions separates by a "_". if wild, write "wild".. all lower caps	DO NOT FILL. This autocompletes.	Is this a wild-caught or isofemale, or isogenic, or experiment (i.e, experimental evolution)	Who is the lead analysist of this sample	Group samples by an analysis set	at least 3 decimals	at least 3 decimals	at least 3 decimals in meters	use "_" instead of spaces. Capitalize first letter	use ISO 3166 code	use ISO 3166 code	use "_" instead of spaces. Capitalize first letter	DO NOT FILL. This autocompletes.	numerical	numerical	numerical	DO NOT FILL. This autocompletes.	bio replicate id, if none, write 1	technical replicate id, if none, write 1	collection from a fruit? -- which one	FQ_R1	FQ_R2
D_exa.wild.US-VT-Sto.1/1/2024.w.1.1	drosophila_examplegaster	exa	wild	w	isofemale	Nunez	EXAMPLE	1.123	1.123	15.123	North_America	US	US-VT	Stowe	US-VT-Sto	1	1	2024	1/1/2024	1	1	apples	/netfiles/thermofly/input_fastq.final/SHC_CH800D/SHC_CH800D_CKDL230019811-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/SHC_CH800D/SHC_CH800D_CKDL230019811-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Tom.27/1/2023.w.DP_B_T_1.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27/1/2023	DP_B_T_1	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_M_T_1/DP_B_M_T_1_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_M_T_1/DP_B_M_T_1_2.fq.gz
D_bas.wild.US-HI-Tom.27/1/2023.w.DP_B_T_2.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27/1/2023	DP_B_T_2	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_M_T_2/DP_B_M_T_2_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_M_T_2/DP_B_M_T_2_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Tom.27/1/2023.w.DP_B_T_3.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27/1/2023	DP_B_T_3	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_M_T_3/DP_B_M_T_3_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_M_T_3/DP_B_M_T_3_2.fq.gz
D_bas.wild.US-HI-Tom.27/1/2023.w.DP_B_T_4.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27/1/2023	DP_B_T_4	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_M_T_4/DP_B_M_T_4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_M_T_4/DP_B_M_T_4_2.fq.gz
D_bas.wild.US-HI-Tom.27/1/2023.w.DP_B_T_5.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27/1/2023	DP_B_T_5	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_M_T_5/DP_B_M_T_5_CKDL230019810-1A_HCNVLDSX7_L4_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_M_T_5/DP_B_M_T_5_CKDL230019810-1A_HCNVLDSX7_L4_2.fq.gz
D_bas.wild.US-HI-Tom.27/1/2023.w.DP_B_T_6.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27/1/2023	DP_B_T_6	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_M_T_6/DP_B_M_T_6_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_M_T_6/DP_B_M_T_6_2.fq.gz
D_bas.wild.US-HI-Tom.27/1/2023.w.DP_B_T_7.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.57453 N	155.21619 W	975	Hawaii	US	US-HI	Tom's Trail	US-HI-Tom	27	1	2023	27/1/2023	DP_B_T_7	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_M_T_7/DP_B_M_T_7_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_M_T_7/DP_B_M_T_7_2.fq.gz
D_bas.wild.US-HI-Ola.27/1/2023.w.DP_B_O_1.1	drosophila_basisetae	bas	wild	w	wild_caught	Price	Hawaii_set	19.45825 N	155.24897 W	1212	Hawaii	US	US-HI	Olaa forest	US-HI-Ola	27	1	2023	27/1/2023	DP_B_O_1	1	mushroom & banana baits	/netfiles/thermofly/input_fastq.final/DP_B_O_1/DP_B_O_1_1.fq.gz	/netfiles/thermofly/input_fastq.final/DP_B_O_1/DP_B_O_1/DP_B_O_1_2.fq.gz
